Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",CurrentlyFarm,Age,MaritalStatus,NumberInHousehold,Children<12,CurrentlyOnFoodStamps,Education,Approximate / annual household income before taxes in 2012,0,1,2,3,4,5,6,7,8,9,Cluster,Race,State
8.0,7.0,5.0,2.0,6.0,1.0,7.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,3.5464671768637697,-0.1740781253706892,1.5686483872212027,-1.1520946398113323,-1.3809195280320452,0.04552722406259709,-0.9206488615513728,0.03246583996348622,-0.4094556198741829,0.04003438818161066,3,9.0,17.0
5.0,3.0,7.0,3.0,6.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,8.0,2.8615278924899417,-0.8649343566547856,1.0025525621802067,1.6196642438880253,-0.2334572132272454,0.5769058608190288,-1.1886950175772006,0.3215798208613139,-1.643836384420549,-1.138171564492669,3,2.0,11.0
6.0,3.0,6.0,5.0,4.0,1.0,2.0,7.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,0.36665366016235157,1.3418619540779333,1.6701591160092082,0.8748553859004328,0.8353082825607718,1.3828206540857753,0.18741435174240526,2.6117541811726155,-0.3431768033103811,0.026309734474394546,2,14.0,8.0
1.0,1.0,1.0,6.0,5.0,4.0,7.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,6.0,1.0,-0.007044178128957964,2.0696983654203582,-0.3923109828846554,0.18486825969420903,-1.5068871428481443,-1.080183072195381,-0.7031365134800639,-1.6293580236852563,-2.057075394249887,1.6040289964500756,2,4.0,22.0
4.0,3.0,3.0,7.0,4.0,2.0,6.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,0.7135251387057528,1.2822106054591214,-2.2287766874809307,-0.04969117091300583,-0.8102801698646638,-0.6745309535194024,-1.2995757182449552,-0.18091537204820585,-0.5333363618977374,0.5794121469931824,7,2.0,34.0
2.0,2.0,4.0,5.0,2.0,3.0,7.0,1.0,6.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,3.0,0.6862870605083606,1.844184020907564,-1.8478915269479659,-1.8673709735856583,0.601275508193532,0.37434738792498184,-1.58238177985684,0.16767463350458994,-1.9972364689827498,-0.6112290799290608,7,1.0,11.0
5.0,4.0,4.0,5.0,3.0,7.0,1.0,6.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,6.0,1.8840150142930043,0.015269640870577725,0.25703655541261583,2.16001167650299,-1.141804469311423,-0.3216892301025166,1.4967750075735105,0.8006185349326057,-0.6246747281348869,0.5172223247653345,3,2.0,34.0
2.0,3.0,1.0,6.0,2.0,3.0,7.0,4.0,5.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,1.2386882664960563,2.6403129802945235,-1.181360540885882,-0.7650546029672682,-1.0795764130655432,0.3096063532286754,0.5039000198276926,-0.1526592536815485,-1.477796137287705,0.1429584549393626,2,2.0,41.0
6.0,1.0,2.0,1.0,3.0,5.0,7.0,4.0,6.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,-0.6812296137204296,0.6733687777100775,-0.015744908973196102,-1.75514795740172,-1.2584054779845293,0.11895222114853321,0.06089310927205275,-0.2535482463813521,0.5923399981131636,-1.5725902171964714,6,2.0,31.0
3.0,2.0,4.0,1.0,7.0,3.0,2.0,5.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,4.0,0.7528286240122009,0.6037177498953163,1.4961412433248065,0.9513834202790767,2.6125752826592885,-1.2310706992752343,-1.3273902891983762,-1.8863019207641971,-0.04936865584361819,-2.168572773436294,5,3.0,23.0
4.0,4.0,4.0,6.0,3.0,7.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,-1.1351489381039046,-0.001877493802923838,-0.4460666873926914,1.6843084693714945,0.024233460945332814,-0.2456219936924166,0.6333051081465609,1.1366440242175284,-0.1425138713415153,0.6901635480544996,4,3.0,17.0
5.0,3.0,5.0,6.0,1.0,7.0,3.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,7.0,-0.4402809597201932,-1.4744650678377598,-2.422432482573814,-0.09830426102201115,0.7401746140383635,-0.15302277762730843,0.2575186800773671,0.6553737370756222,-0.3918322856440309,0.14705414300877917,0,2.0,6.0
5.0,3.0,5.0,3.0,2.0,1.0,4.0,6.0,7.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,1.7189491106491948,0.7392159207640059,-0.6114758824121869,0.23123571166704374,-0.9412870634752125,-0.19991281971365918,0.6846687217450389,0.39086717427376066,-1.2953741648038692,-2.399107302908715,2,1.0,31.0
5.0,1.0,2.0,4.0,6.0,7.0,1.0,5.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,-1.969762155267556,0.22610527429406,0.7018349984724136,1.5778392390123759,-0.30255979468178396,0.47172864117594765,-0.30214805531000033,-0.7136019146100924,0.3416483907986006,0.1347763508036159,4,7.0,5.0
7.0,6.0,4.0,2.0,6.0,1.0,7.0,5.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,2.750032940849164,0.17678493057928144,1.7220334384087523,-1.039899477821516,-1.2365868472340413,-0.05524591631270235,-0.6477486572188625,-0.36131330715567916,-0.7528300701991762,-0.12425667033281343,3,3.0,10.0
6.0,1.0,1.0,6.0,4.0,7.0,5.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,-1.5957761369331538,0.5481392144472987,-1.1195194777041624,-0.29936809080810595,-0.7062344144333186,0.29225822515251704,-0.30604058544686485,-0.3596194726129263,0.7585198097289713,1.4027091794254012,7,3.0,36.0
8.0,6.0,3.0,1.0,4.0,5.0,2.0,7.0,6.0,2.0,1.0,2.0,5.0,1.0,2.0,5.0,3.0,2.823764114759895,0.35547403310259285,1.2676270338176023,0.6896100835132694,-1.1540125109757833,0.5436136540954939,1.4038133892982885,-0.5715574570724472,0.38225798973776015,-1.909844474302807,3,4.0,31.0
2.0,3.0,5.0,7.0,4.0,1.0,6.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,5.0,7.0,2.31237366191351,0.6128851077951479,-1.0964890543220944,-0.2578504146554399,-0.24017963802249365,0.3259900745983331,-1.4535716737712614,0.1985580087821687,-2.686284667855331,1.0020774907821963,3,4.0,30.0
3.0,2.0,1.0,4.0,3.0,7.0,2.0,6.0,5.0,2.0,5.0,1.0,1.0,2.0,2.0,3.0,2.0,-2.3366216555027504,0.9015058807258175,-0.5314575886160079,1.1490654451785511,-0.31127721335488895,-0.3288201577910335,1.1196972097692335,-0.4126710007116396,0.2941075309788509,-1.0044554425922556,4,3.0,10.0
4.0,4.0,4.0,2.0,6.0,5.0,1.0,7.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,1.0864222446723688,-0.09548467426452566,1.9229886365618598,1.7241583507266165,-0.3262057536427794,-0.02730552517697724,0.04909884659644584,-0.5457925041607077,-1.04967339642232,-0.8966688838691014,2,6.0,5.0
9.0,2.0,5.0,2.0,6.0,3.0,7.0,4.0,1.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,0.36445294892022706,-1.0534833426125385,1.778338964784379,-1.290194289394773,-1.2850629595908296,0.011712316223706118,-1.0329503735415835,0.162122201982694,-0.26643362564251927,0.7342217982013123,6,8.0,22.0
3.0,5.0,1.0,5.0,3.0,4.0,6.0,2.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,0.023701110755453673,1.4215012796236772,-2.3843135502122808,-0.5191823591812958,-0.39360984043419406,-1.2409996849336573,-0.2859713185904081,-1.2960956914741337,0.11605880181150986,-0.7579149638107844,7,14.0,33.0
3.0,1.0,2.0,6.0,4.0,1.0,3.0,7.0,5.0,2.0,5.0,1.0,3.0,2.0,2.0,5.0,2.0,-0.42639454751902167,1.4882636898243662,-0.19302038414663636,1.1803376832260533,-0.5921732860734725,0.8974613748242632,0.6133504130928479,-0.7372658835335307,-1.8455533816769771,-0.6843845995910193,4,2.0,1.0
2.0,1.0,1.0,5.0,3.0,6.0,7.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,-1.3399224979681126,1.4130695813227099,-1.7750935116165953,-0.5619763691593681,-0.648900122493507,-1.9571394920703011,-0.41057309390046043,-1.2306562661805722,-0.8519536795073929,0.40956638702565124,7,2.0,34.0
6.0,3.0,3.0,5.0,7.0,4.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.9571589319265947,1.028817559588588,1.3838963939855053,2.598167604960621,-1.2101631528889791,-0.10973121809367857,-0.23136419954767887,-0.05629447040266183,-0.3030860645163733,0.7005920134589515,2,2.0,33.0
6.0,4.0,4.0,5.0,3.0,7.0,1.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,0.3028525041450938,-1.166594572560523,-2.1718308088136253,0.8640966716728299,0.6612450142505002,-0.11626923194877657,-0.15796685867399868,-0.5878444285050186,0.45038529001199873,-0.7193445906266077,0,14.0,44.0
6.0,3.0,4.0,5.0,7.0,6.0,1.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,6.0,-0.6129088283169415,-1.3148779810276523,0.3067330776933778,1.5906302959084426,-0.1723213128013978,0.5992386250013159,-1.3441085114533744,0.0809072079687194,0.8249001358164595,0.9843398637608322,0,3.0,36.0
